FRUIT YOGURT AMBROSIA,"Apple, Banana, Grapefruit, Orange, Honey Coconut Yogurt Dressing(Plain Yogurt(Cultured Grade A Reduced Fat Milk, Pectin), Coconut, Honey, Lemon Juice, Cinnamon)", , , ,Tree Nut, ,Milk, , , 
12-GRAIN BREAD,12 grain bread, , , , , , , ,Wheat,Gluten
4 CHEESE STROMBOLI,"Pizza Dough(ENRICHED UNBLEACHED WHEAT FLOUR (WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, IRON AS FERROUS SULFATE, THIAMINE MONONITRATE, ENZYME, RIBOFLAVIN, FOLIC ACID), WATER, YEAST, HIGH FRUCTOSE CORN SYRUP, CONTAINS LESS THAN 2% OF THE FOLLOWING: SALT, SOYBEAN OIL, WHEAT GLUTEN, ASCORBIC ACID, ENZYME), Cheddar Cheese(Pasteurized Milk, Cheese Culture, Salt, Enzymes and Annatto. Potato Starch and Powdered Cellulose added to prevent caking.), Mozzarella Cheese(Pasteurized Part Skim Milk, Cheese Culture, Salt and Enzymes. Powdered Cellulose added to prevent caking.), Provolone Cheese(Pasteurized Milk, Cheese Culture, Salt, Enzymes), Pizza Sauce(Tomato Puree (Water, Tomato Paste), Less than 2% of: Salt, Extra Virgin Olive Oil, Dried Onions, Garlic, Spices, Citric Acid), Parmesan Cheese(Pasteurized Part Skim Milk, Cheese Culture, Salt, Enzymes), Vegetable Oil, Italian Seasoning(Herbs)", , , , , ,Milk,Soy,Wheat,Gluten
ABODO FLATBREAD,"Biscuit(ENRICHED FLOUR BLEACHED (WHEAT FLOUR, NIACIN, FERROUS SULFATE, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), WATER, PARTIALLY HYDROGENATED SOYBEAN AND COTTONSEED OIL, SUGAR, BUTTERMILK, BAKING SODA, SALT, SODIUM ALUMINUM PHOSPHATE, SODIUM CASEINATE, DATEM, NONFAT MILK, WHEY PROTEIN CONCENTRATE, SODIUM ACID PYROPHOSPHATE, WHEY, WHEAT PROTEIN ISOLATE, NATURAL FLAVOR), Flour, Turmeric, Garlic, Onion Powder, Oregano, Black Pepper, Salt", , , , , ,Milk,Soy,Wheat,Gluten
ADOBO PORK & WHITE BEAN CHILI,"Great Northern Beans, Roasted Adobo Pork Loin(Pork, Marinade, Garlic, Oregano(Cider Vinegar, Vegetable Oil, Garlic, Oregano, Black Pepper, Salt)), Water, Green Pepper, Corn, Yellow Onion, Jalapeno, Tomato Paste, Garlic, Paprika, Vegetable Oil, Chicken Base(Chicken Meat and Natural Chicken Juices, Dried Whey, Maltodextrin, Hydrolyzed (corn and wheat gluten, soy) Proteins, Flavor (contains torula yeast), Yeast Extract,Cornstarch, Chicken Flavor, Corn Oil, Disodium Inosinate/Disodium Guanylate, Chicken Stock, Hydrolyzed Chicken, Chicken Fat, Potato Starch, Turmeric, Calcium Lactate, Soy Lecithin, Dextrose, Lactic Acid, Vegetable Color (turmeric and annatto and paprika extracts).NO ADDED MSG other than that which naturally occurs in the hydrolyzed proteins and yeast extract.), Salt, Chili Powder, Black Pepper, Cumin, Coriader", , , , , ,Milk,Soy,Wheat,Gluten
AFRICAN POTATO STEW,"Brown Lentils(Water, Brown Lentil), Roasted Sweet Potatoes(Sweet Potato, Vegetable Oil, Salt, Black Pepper), Vegetable Broth(Water, Vegetable Base(SAUTEED VEGETABLES (CARROTS, ONIONS AND CELERY), SALT, SUGAR, MALTODEXTRIN (FROM CORN), CORN OIL, AUTOLYZED YEAST EXTRACT, NATURAL FLAVORING, POTATO STARCH AND AGAR)), Coconut Milk(Coconut Milk, Water, Stabilizer/Emulsifier(Carboxymethyl Cellulose and/or Polysorbate 60), Thickener(Guar Gum and/or Xanthan Gum), Preservative (Potassium Meta Bisulfite)), Yellow Onion, Peas, Vegetable Oil, Mint, Ginger, African Spice Mix(Cinnamon, Cumin, Turmeric, Ginger), Salt, Cayenne Pepper", , , ,Tree Nut, , , , , 
AFRICAN SPICE MIX,"Cinnamon, Cumin, Turmeric, Ginger", , , , , , , , , 
ALFREDO SAUCE,"Alfredo Sauce(Milk, Creamer, Butter, Yellow Onion, Parmesan Cheese(Pasteurized Part Skim Milk, Cheese Culture, Salt, Enzymes), Flour, Salt, Nutmeg, Black Pepper, Garlic)", , , , , ,Milk, ,Wheat,Gluten
ALFREDO SAUCE,"Alfredo Sauce(Milk, Creamer, Butter, Yellow Onion, Parmesan Cheese(Pasteurized Part Skim Milk, Cheese Culture, Salt, Enzymes), Flour, Salt, Nutmeg, Black Pepper, Garlic)", , , , , ,Milk, ,Wheat,Gluten
ALFREDO SAUCE,"Milk, Creamer, Butter, Yellow Onion, Parmesan Cheese(Pasteurized Part Skim Milk, Cheese Culture, Salt, Enzymes), Flour, Salt, Nutmeg, Black Pepper, Garlic", , , , , ,Milk, ,Wheat,Gluten
